County,Precinct,Biden VBM,Biden EV,Biden ED,Ossoff VBM,Ossoff EV,Ossoff ED,Registered Voters,Trump Election Day Votes,Trump Advanced Voting Votes,Trump Absentee by Mail Votes,Trump Provisional Votes,Trump Total Votes,Biden Election Day Votes,Biden Advanced Voting Votes,Biden Absentee by Mail Votes,Biden Provisional Votes,Biden Total Votes,Registered Voters,Perdue Election Day Votes,Perdue Advanced Voting Votes,Perdue Absentee by Mail Votes,Perdue Provisional Votes,Perdue Total Votes,Ossoff Election Day Votes,Ossoff Advanced Voting Votes,Ossoff Absentee by Mail Votes,Ossoff Provisional Votes,Ossoff Total Votes
Appling,1B,26.80%,8.90%,8.30%,28.20%,11.00%,11.00%,1309,253,493,123,1,870,23,48,45,0,116,1309,241,469,117,1,828,30,58,46,0,134
Appling,1C,13.30%,4.90%,8.20%,13.50%,4.70%,9.00%,848,178,349,65,2,594,16,18,10,0,44,848,170,343,64,2,579,17,17,10,0,44
Appling,2,78.20%,59.90%,52.60%,77.00%,59.40%,54.40%,2251,145,305,81,0,531,159,456,291,2,908,2251,136,299,79,0,514,160,437,265,2,864
Appling,3A1,12.30%,2.00%,2.10%,14.70%,2.40%,3.40%,793,232,291,64,0,587,5,6,9,0,20,793,225,287,58,0,570,8,7,10,0,25
Appling,3C,45.30%,17.40%,33.50%,45.10%,18.00%,32.70%,1566,107,608,128,0,843,54,128,106,0,288,1566,103,593,123,0,819,50,130,101,0,281
Appling,4B,12.00%,3.00%,1.20%,11.30%,3.70%,1.60%,866,253,321,73,0,647,3,10,10,0,23,866,252,316,71,0,639,4,12,9,0,25
Appling,4D,20.20%,9.70%,7.70%,21.50%,9.60%,8.10%,1493,240,649,158,1,1048,20,70,40,0,130,1493,236,634,150,1,1021,21,67,41,0,129
Appling,5A,28.10%,11.70%,11.70%,31.10%,11.70%,12.00%,1147,142,453,100,2,697,18,60,39,1,118,1147,137,437,84,2,660,18,58,38,1,115
Appling,5B,27.40%,12.70%,14.90%,26.60%,13.00%,18.90%,1126,203,405,98,3,709,36,59,37,0,132,1126,186,396,91,3,676,44,59,33,0,136
Atkinson,1,32.40%,11.40%,12.00%,33.60%,11.60%,12.70%,1802,235,716,75,0,1026,32,92,36,0,160,1802,226,707,75,0,1008,33,93,38,0,164
Atkinson,2,12.90%,5.90%,11.40%,10.30%,8.20%,10.00%,742,194,257,27,1,479,25,16,4,0,45,742,189,245,26,1,461,21,22,3,0,46
Atkinson,3,46.90%,31.30%,34.30%,46.90%,30.50%,31.10%,1311,224,299,43,0,566,117,136,38,0,291,1311,226,296,43,0,565,102,130,38,0,270
Atkinson,4,73.20%,57.80%,54.70%,62.90%,56.20%,48.50%,944,63,147,19,0,229,76,201,52,0,329,944,68,144,26,0,238,64,185,44,0,293
Bacon,DOUGL,28.70%,8.50%,24.60%,28.70%,8.30%,23.50%,6720,431,3099,487,1,4018,140,288,196,1,625,6720,417,3047,465,0,3929,127,276,187,1,591
Baker,A,70.60%,20.60%,16.40%,75.00%,18.20%,13.70%,166,60,27,5,1,93,12,7,12,0,31,166,62,27,4,1,94,10,6,12,0,28
Baker,E,69.50%,51.50%,31.20%,71.30%,52.80%,30.30%,401,52,63,25,1,141,24,67,57,0,148,401,52,60,23,1,136,23,67,57,0,147
Baker,H,67.80%,39.80%,43.00%,71.20%,41.30%,44.90%,351,45,56,19,0,120,34,37,40,0,111,351,43,54,17,0,114,35,38,42,0,115
Baker,M,53.50%,24.30%,31.20%,51.30%,24.60%,30.40%,270,64,53,20,0,137,29,17,23,0,69,270,64,52,19,0,135,28,17,20,0,65
Baker,N,59.60%,34.60%,41.70%,59.30%,36.00%,41.90%,1070,70,267,69,0,406,50,141,102,0,293,1070,68,258,68,0,394,49,145,99,0,293
Baldwin,CTY1,84.20%,73.90%,71.70%,85.10%,73.40%,68.00%,1259,36,108,35,0,179,91,306,186,0,583,1259,41,109,32,0,182,87,301,183,0,571
Baldwin,CTY2,74.10%,67.60%,61.50%,74.50%,65.70%,59.60%,957,40,72,41,0,153,63,150,117,1,331,957,42,74,37,0,153,61,142,108,1,312
Baldwin,CTY3,88.90%,76.20%,78.40%,87.40%,74.80%,76.90%,1381,36,77,21,0,134,131,247,169,0,547,1381,39,80,23,0,142,130,238,159,0,527
Baldwin,CTY4,82.70%,51.70%,48.20%,79.20%,52.10%,51.80%,506,29,70,14,0,113,27,75,67,0,169,506,27,70,16,0,113,29,76,61,0,166
Baldwin,CTY5,89.10%,72.30%,69.20%,86.90%,70.90%,69.40%,1481,41,140,31,0,212,92,365,254,0,711,1481,38,143,37,0,218,86,349,246,0,681
Baldwin,CTY6,63.80%,47.40%,51.30%,61.90%,45.90%,51.10%,2211,128,519,145,1,793,136,468,255,0,859,2211,129,527,146,1,803,136,448,237,0,821
Baldwin,MERI,52.30%,34.90%,30.70%,49.90%,33.90%,31.20%,2832,257,892,217,0,1366,114,479,238,0,831,2832,247,890,222,0,1359,112,456,221,0,789
Baldwin,MONT,60.80%,37.70%,37.50%,59.50%,37.40%,38.40%,3826,292,1074,215,0,1581,175,651,333,0,1159,3826,284,1062,215,0,1561,177,634,316,0,1127
Baldwin,1714,65.50%,33.50%,30.30%,66.70%,34.50%,31.30%,1101,135,238,50,3,426,60,120,95,0,275,1101,129,230,45,3,407,60,121,90,0,271
Baldwin,318,53.10%,24.60%,22.30%,52.40%,23.60%,23.50%,3515,311,1324,256,0,1891,89,431,290,0,810,3515,300,1332,250,0,1882,92,412,275,0,779
Baldwin,319,66.40%,39.30%,38.80%,64.70%,38.90%,36.30%,1862,170,461,100,0,731,108,298,198,0,604,1862,174,458,103,0,735,99,291,189,0,579
Baldwin,321E,88.00%,75.50%,72.90%,86.20%,76.00%,72.00%,1313,46,69,25,0,140,124,213,183,0,520,1313,47,65,27,0,139,121,206,169,0,496
Baldwin,321W,87.40%,71.70%,79.30%,86.50%,70.60%,77.30%,2903,68,260,72,0,400,261,660,500,0,1421,2903,73,264,74,0,411,249,633,475,0,1357
Baldwin,322,62.80%,25.60%,16.50%,62.80%,24.30%,18.20%,1574,284,432,68,0,784,56,149,115,0,320,1574,275,429,64,0,768,61,138,108,0,307
Banks,1,31.10%,7.40%,3.40%,28.90%,7.40%,5.20%,1533,224,575,102,0,901,8,46,46,0,100,1533,217,563,101,1,882,12,45,41,0,98
Banks,2,25.30%,11.70%,17.90%,28.20%,13.20%,19.20%,876,87,317,124,0,528,19,42,42,0,103,876,84,308,112,0,504,20,47,44,0,111
Banks,3,23.50%,8.90%,4.20%,15.20%,9.00%,6.50%,415,45,194,26,1,266,2,19,8,0,29,415,42,192,28,1,263,3,19,5,0,27
Banks,4,19.30%,6.80%,6.90%,24.10%,6.70%,5.70%,816,121,300,46,1,468,9,22,11,0,42,816,115,294,41,1,451,7,21,13,0,41
Banks,5,16.70%,5.20%,7.10%,16.70%,4.10%,5.90%,363,65,163,30,0,258,4,9,6,1,20,363,64,164,30,0,258,4,7,6,0,17
Banks,6,30.40%,10.40%,9.20%,29.10%,9.60%,9.80%,1977,243,732,128,4,1107,25,85,56,0,166,1977,236,727,122,4,1089,26,77,50,0,153
