County,Precinct,Race,Party,Index,Baseline,Perdue,Ossoff
APPLING,2,2.69751,3.084946,4.239984,59.375,36.38502,63.61498
APPLING,1B,0.538965,1.642898,1.360414,11.00569,87.63389,12.36611
APPLING,1C,0.037322,1.102278,0.588461,4.722222,94.68932,5.310683
APPLING,3A1,0.032982,1.084414,0.575189,2.380952,97.04386,2.956141
APPLING,3C,2.083393,2.80942,3.488104,17.98064,78.53126,21.46874
APPLING,4B,0.068149,0.589013,0.362655,3.658537,95.97881,4.021192
APPLING,4D,0.332837,1.418175,1.041924,9.557775,89.4003,10.5997
APPLING,5A,0.64707,1.957221,1.625681,11.71717,86.65715,13.34285
APPLING,5B,0.992253,1.818153,1.90133,12.96703,85.13164,14.86836
ATKINSON,1,0.205611,1.645117,1.02817,11.625,87.34683,12.65317
ATKINSON,2,0.001366,0.946566,0.474649,8.2397,91.28565,8.71435
ATKINSON,3,2.195727,3.227703,3.809579,30.51643,65.67399,34.32601
ATKINSON,4,2.338204,3.634521,4.155465,56.231,39.61353,60.38647
BACON,DOUGL,1.322412,1.151849,1.898337,8.305748,89.79592,10.20408
BAKER,A,2.124061,3.099213,3.673667,18.18182,78.14451,21.85549
BAKER,E,2.850823,1.406109,3.553877,52.75591,43.69022,56.30978
BAKER,H,3.500449,1.434068,4.217483,41.30435,54.47817,45.52183
BAKER,M,3.272222,1.588061,4.066252,24.63768,71.29607,28.70393
BAKER,N,3.207256,1.615344,4.014928,35.98015,60.00492,39.99508
BALDWIN,318,1.500169,3.255374,3.127856,23.62385,73.24829,26.75171
BALDWIN,319,2.816534,3.631384,4.632226,38.8518,56.51597,43.48403
BALDWIN,322,2.026988,3.562346,3.808161,24.33862,71.85321,28.14679
BALDWIN,1714,2.557596,3.635309,4.375251,34.47293,61.15181,38.84819
BALDWIN,321E,1.697444,2.040284,2.717586,76.01476,21.26765,78.73235
BALDWIN,321W,2.138281,2.177331,3.226947,70.56856,26.20449,73.79551
BALDWIN,CTY1,1.61612,1.977245,2.604743,73.41463,23.98062,76.01938
BALDWIN,CTY2,1.88446,2.595195,3.182058,65.74074,31.0772,68.9228
BALDWIN,CTY3,1.57942,1.557925,2.358382,74.84277,22.79885,77.20115
BALDWIN,CTY4,1.372072,3.005288,2.874716,52.05479,45.07049,54.92951
BALDWIN,CTY5,1.799946,1.995769,2.79783,70.93496,26.26721,73.73279
BALDWIN,CTY6,2.239857,3.596348,4.038031,45.94872,50.01325,49.98675
BALDWIN,MERI,1.858128,3.558559,3.637407,33.87816,62.48444,37.51556
BALDWIN,MONT,2.769509,3.616916,4.577968,37.38208,58.03996,41.96004
BANKS,1,0,1.752736,0.876368,7.401316,91.72232,8.277684
BANKS,2,0,1.947637,0.973819,13.23944,85.78674,14.21326
BANKS,3,0.200257,0.635679,0.518097,9.004739,90.47716,9.522836
BANKS,4,0.077841,1.023087,0.589385,6.666667,92.74395,7.256052
BANKS,5,0,0.901312,0.450656,4.093567,95.45578,4.544223
BANKS,6,0.278683,1.804826,1.181096,9.577114,89.24179,10.75821
BANKS,7,0,2.032108,1.016054,8,90.98395,9.016054
BANKS,8,0,0.908746,0.454373,6.530612,93.01501,6.984985
BANKS,9,0,1.466506,0.733253,6.188925,93.07782,6.922178
BANKS,10,0,1.225651,0.612825,6.798867,92.58831,7.411692
BANKS,11,0,1.177012,0.588506,6.25,93.16149,6.838506
BANKS,12,0.01458,1.158152,0.593656,8.282209,91.12414,8.875864
BANKS,13,0,0.922952,0.461476,5.776173,93.76235,6.237649
BARROW,1,0.49418,1.752736,1.370548,21.21212,77.41733,22.58267
BARROW,2,0.227708,2.330378,1.392897,13.7189,84.88821,15.11179
BARROW,3,0.173464,2.775409,1.561169,18.95142,79.48741,20.51259
BARROW,4,0.38874,2.894227,1.835854,19.36813,78.79601,21.20399
BARROW,5,1.066063,3.208646,2.670386,23.27007,74.05954,25.94046
BARROW,8,0.569401,2.672154,1.905478,17.58059,80.51393,19.48607
BARROW,13,1.354481,3.410276,3.059619,30.98178,65.95861,34.04139
BARROW,16,1.225635,3.49345,2.972361,31.10999,65.91765,34.08235
BARTOW,1,0.498469,2.640812,1.818875,14.72242,83.45871,16.54129
BARTOW,2,0.158093,3.369849,1.843018,20.69454,77.46244,22.53756
BARTOW,3,1.279825,3.283363,2.921507,28.0303,69.04819,30.95181
BARTOW,4,1.256501,3.071463,2.792232,23.3324,73.87537,26.12463
BARTOW,5,0.900067,2.924264,2.3622,24.44853,73.18927,26.81073
BARTOW,6,0.30602,2.424069,1.518055,16.0678,82.41415,17.58585
BARTOW,7,0.076832,2.853423,1.503544,15.73546,82.76099,17.23901
BARTOW,8,0.673534,2.992513,2.169791,18.25476,79.57545,20.42455
BARTOW,9,0,1.996058,0.998029,11.66253,87.33944,12.66056
BARTOW,10,0.383135,0,0.383135,18.51145,81.10541,18.89459
BARTOW,11,0.922875,0,0.922875,12.94872,86.12841,13.87159
BARTOW,12,0,3.371098,1.685549,21.44623,76.86822,23.13178
BARTOW,14,0,1.222757,0.611379,12.04188,87.34674,12.65326
BARTOW,15,0.020839,2.090171,1.065925,7.940161,90.99391,9.006086
BARTOW,16,1.889922,2.129459,2.954652,11.73709,85.30826,14.69174
BARTOW,17,0.500757,3.583902,2.292707,30.76162,66.94567,33.05433
BARTOW,18,0.409924,2.906207,1.863028,21.40575,76.73122,23.26878
BEN HILL,1,3.426976,3.617162,5.235557,40.37855,54.38589,45.61411
BEN HILL,2,2.451083,3.19285,4.047508,22.57837,73.37412,26.62588
BERRIEN,518,2.139645,2.779573,3.529431,21.36499,75.10558,24.89442
BERRIEN,1144,0.693218,1.980661,1.683549,11.95159,86.36486,13.63514
BERRIEN,1157,1.051275,1.949907,2.026228,12.47726,85.49651,14.50349
BERRIEN,1642,0.4532,1.584137,1.245268,9.541985,89.21275,10.78725
BERRIEN,11062,0.090057,1.163537,0.671826,9.698997,89.62918,10.37082
