county_code,county_precinct_id,race,voter_status,registered_voters
1,1B,AI,A,5
1,1B,AP,A,2
1,1B,AP,I,1
1,1B,BH,A,79
1,1B,BH,I,11
1,1B,HP,A,11
1,1B,HP,I,1
1,1B,OT,A,14
1,1B,OT,I,3
1,1B,U,A,72
1,1B,U,I,10
1,1B,WH,A,1135
1,1B,WH,I,58
1,1C,AI,A,1
1,1C,AP,A,1
1,1C,AP,I,1
1,1C,BH,A,88
1,1C,BH,I,10
1,1C,HP,A,21
1,1C,OT,A,7
1,1C,OT,I,3
1,1C,U,A,52
1,1C,U,I,6
1,1C,WH,A,860
1,1C,WH,I,66
1,2,AI,A,6
1,2,AI,I,2
1,2,AP,A,5
1,2,AP,I,3
1,2,BH,A,1193
1,2,BH,I,145
1,2,HP,A,64
1,2,HP,I,12
1,2,OT,A,24
1,2,OT,I,5
1,2,U,A,172
1,2,U,I,16
1,2,WH,A,712
1,2,WH,I,76
1,3A1,AP,A,1
1,3A1,BH,A,14
1,3A1,BH,I,1
1,3A1,HP,A,9
1,3A1,HP,I,1
1,3A1,OT,A,1
1,3A1,OT,I,1
1,3A1,U,A,47
1,3A1,U,I,6
1,3A1,WH,A,724
1,3A1,WH,I,52
1,3C,AI,A,4
1,3C,AP,A,11
1,3C,AP,I,1
1,3C,BH,A,308
1,3C,BH,I,65
1,3C,HP,A,47
1,3C,HP,I,1
1,3C,OT,A,4
1,3C,OT,I,1
1,3C,U,A,112
1,3C,U,I,16
1,3C,WH,A,1134
1,3C,WH,I,106
1,4B,AI,A,2
1,4B,AI,I,1
1,4B,AP,A,2
1,4B,BH,A,12
1,4B,BH,I,3
1,4B,HP,A,8
1,4B,OT,A,4
1,4B,U,A,43
1,4B,U,I,6
1,4B,WH,A,800
1,4B,WH,I,38
1,4D,AI,A,3
1,4D,AI,I,1
1,4D,AP,A,15
1,4D,AP,I,2
1,4D,BH,A,74
1,4D,BH,I,4
1,4D,HP,A,36
1,4D,HP,I,3
1,4D,OT,A,6
1,4D,U,A,77
1,4D,U,I,8
1,4D,WH,A,1168
1,4D,WH,I,63
1,5A,AI,A,8
1,5A,AP,A,4
1,5A,AP,I,1
1,5A,BH,A,86
1,5A,BH,I,23
1,5A,HP,A,44
1,5A,HP,I,8
1,5A,OT,A,12
1,5A,U,A,83
1,5A,U,I,19
1,5A,WH,A,887
1,5A,WH,I,100
1,5B,AI,A,3
1,5B,AP,A,5
1,5B,BH,A,48
1,5B,BH,I,2
1,5B,HP,A,30
1,5B,HP,I,1
1,5B,OT,A,4
1,5B,OT,I,2
1,5B,U,A,48
1,5B,U,I,5
1,5B,WH,A,805
1,5B,WH,I,44
2,1,AI,A,7
2,1,AI,I,1
2,1,AP,A,3
2,1,BH,A,93
2,1,BH,I,9
2,1,HP,A,128
2,1,HP,I,14
2,1,OT,A,13
2,1,OT,I,3
2,1,U,A,96
2,1,U,I,7
2,1,WH,A,1360
2,1,WH,I,83
2,2,AI,A,2
2,2,AP,A,1
2,2,BH,A,22
2,2,BH,I,1
2,2,HP,A,35
2,2,HP,I,1
2,2,OT,A,3
2,2,U,A,39
2,2,U,I,3
2,2,WH,A,591
2,2,WH,I,42
2,3,AI,A,6
2,3,BH,A,317
2,3,BH,I,24
2,3,HP,A,88
2,3,HP,I,8
2,3,OT,A,9
2,3,OT,I,1
2,3,U,A,65
2,3,U,I,7
2,3,WH,A,732
2,3,WH,I,65
2,4,AI,A,1
2,4,AP,A,2
2,4,BH,A,396
2,4,BH,I,39
2,4,HP,A,103
2,4,HP,I,9
2,4,OT,A,3
2,4,OT,I,2
2,4,U,A,46
2,4,U,I,5
2,4,WH,A,308
2,4,WH,I,29
3,DOUGL,AI,A,14
3,DOUGL,AP,A,19
3,DOUGL,AP,I,2
3,DOUGL,BH,A,739
3,DOUGL,BH,I,155
3,DOUGL,HP,A,102
3,DOUGL,HP,I,18
3,DOUGL,OT,A,45
3,DOUGL,OT,I,5
3,DOUGL,U,A,353
3,DOUGL,U,I,65
3,DOUGL,WH,A,5049
3,DOUGL,WH,I,445
4,A,AP,A,1
4,A,BH,A,244
4,A,BH,I,16
4,A,HP,A,2
4,A,OT,A,2
4,A,U,A,17
4,A,U,I,1
4,A,WH,A,211
4,A,WH,I,11
4,E,AI,A,1
4,E,AP,A,1
4,E,BH,A,86
4,E,BH,I,2
4,E,HP,A,2
4,E,OT,A,7
4,E,U,A,16
4,E,U,I,3
4,E,WH,A,238
4,E,WH,I,14
4,H,AP,A,2
4,H,BH,A,262
4,H,BH,I,15
4,H,HP,A,6
4,H,OT,A,7
4,H,OT,I,2
4,H,U,A,21
4,H,U,I,2
4,H,WH,A,162
4,H,WH,I,10
4,M,AI,A,2
4,M,AP,A,10
4,M,BH,A,101
4,M,BH,I,7
4,M,HP,A,2
4,M,HP,I,1
4,M,OT,A,1
4,M,U,A,22
4,M,U,I,1
4,M,WH,A,267
4,M,WH,I,15
4,N,AP,A,2
4,N,BH,A,145
4,N,BH,I,15
4,N,HP,A,5
4,N,HP,I,3
4,N,OT,A,4
4,N,U,A,24
4,N,U,I,3
4,N,WH,A,234
4,N,WH,I,21
5,1714,AI,A,2
5,1714,AP,A,3
5,1714,BH,A,319
5,1714,BH,I,12
5,1714,HP,A,10
5,1714,HP,I,3
5,1714,OT,A,9
5,1714,U,A,77
5,1714,U,I,2
5,1714,WH,A,637
5,1714,WH,I,49
5,318,AI,A,6
5,318,AI,I,1
5,318,AP,A,70
5,318,AP,I,8
5,318,BH,A,564
5,318,BH,I,22
5,318,HP,A,30
5,318,HP,I,7
5,318,OT,A,25
5,318,OT,I,1
5,318,U,A,208
5,318,U,I,17
5,318,WH,A,2588
5,318,WH,I,137
5,319,AI,A,2
5,319,AP,A,8
5,319,AP,I,2
5,319,BH,A,688
5,319,BH,I,36
5,319,HP,A,11
5,319,HP,I,1
5,319,OT,A,12
5,319,OT,I,2
5,319,U,A,104
5,319,U,I,7
5,319,WH,A,1047
5,319,WH,I,43
5,321E,AP,A,3
5,321E,BH,A,901
5,321E,BH,I,52
5,321E,HP,A,9
5,321E,HP,I,1
5,321E,OT,A,10
5,321E,OT,I,2
5,321E,U,A,89
5,321E,U,I,4
5,321E,WH,A,237
5,321E,WH,I,12
5,321W,AI,A,10
5,321W,AP,A,1
5,321W,AP,I,1
5,321W,BH,A,1937
5,321W,BH,I,88
5,321W,HP,A,19
5,321W,HP,I,1
5,321W,OT,A,20
5,321W,OT,I,2
5,321W,U,A,171
5,321W,U,I,6
5,321W,WH,A,667
5,321W,WH,I,74
5,322,AI,A,1
5,322,AP,A,5
5,322,BH,A,326
5,322,BH,I,15
5,322,HP,A,8
5,322,OT,A,6
5,322,U,A,108
5,322,U,I,8
5,322,WH,A,1076
5,322,WH,I,49
5,CTY1,AI,A,7
5,CTY1,AP,A,20
5,CTY1,AP,I,1
5,CTY1,BH,A,728
5,CTY1,BH,I,40
5,CTY1,HP,A,12
5,CTY1,HP,I,2
5,CTY1,OT,A,12
5,CTY1,U,A,75
5,CTY1,U,I,13
5,CTY1,WH,A,335
5,CTY1,WH,I,50
5,CTY2,AI,A,1
5,CTY2,AP,A,1
5,CTY2,AP,I,5
5,CTY2,BH,A,440
5,CTY2,BH,I,26
5,CTY2,HP,A,11
5,CTY2,HP,I,1
5,CTY2,OT,A,14
5,CTY2,U,A,49
5,CTY2,U,I,5
5,CTY2,WH,A,316
5,CTY2,WH,I,32
5,CTY3,AI,A,4
5,CTY3,AP,A,8
5,CTY3,AP,I,2
5,CTY3,BH,A,838
5,CTY3,BH,I,55
5,CTY3,HP,A,10
5,CTY3,OT,A,14
5,CTY3,OT,I,4
5,CTY3,U,A,88
5,CTY3,U,I,10
5,CTY3,WH,A,346
5,CTY3,WH,I,54
5,CTY4,AI,A,2
5,CTY4,AP,A,5
5,CTY4,AP,I,1
5,CTY4,BH,A,120
5,CTY4,BH,I,18
5,CTY4,HP,A,4
5,CTY4,HP,I,3
5,CTY4,OT,A,6
5,CTY4,OT,I,1
5,CTY4,U,A,21
5,CTY4,U,I,5
5,CTY4,WH,A,265
5,CTY4,WH,I,58
5,CTY5,AI,A,6
5,CTY5,AI,I,1
5,CTY5,AP,A,25
5,CTY5,AP,I,5
