county_code,county_precinct_id,race,registered_voters
1,1B,aapi,3
1,1B,black,90
1,1B,hispanic,12
1,1B,native_american,5
1,1B,other,99
1,1B,white,1193
1,1C,aapi,2
1,1C,black,98
1,1C,hispanic,21
1,1C,native_american,1
1,1C,other,68
1,1C,white,926
1,2,aapi,8
1,2,black,1338
1,2,hispanic,76
1,2,native_american,8
1,2,other,217
1,2,white,788
1,3A1,aapi,1
1,3A1,black,15
1,3A1,hispanic,10
1,3A1,other,55
1,3A1,white,776
1,3C,aapi,12
1,3C,black,373
1,3C,hispanic,48
1,3C,native_american,4
1,3C,other,133
1,3C,white,1240
1,4B,aapi,2
1,4B,black,15
1,4B,hispanic,8
1,4B,native_american,3
1,4B,other,53
1,4B,white,838
1,4D,aapi,17
1,4D,black,78
1,4D,hispanic,39
1,4D,native_american,4
1,4D,other,91
1,4D,white,1231
1,5A,aapi,5
1,5A,black,109
1,5A,hispanic,52
1,5A,native_american,8
1,5A,other,114
1,5A,white,987
1,5B,aapi,5
1,5B,black,50
1,5B,hispanic,31
1,5B,native_american,3
1,5B,other,59
1,5B,white,849
2,1,aapi,3
2,1,black,102
2,1,hispanic,142
2,1,native_american,8
2,1,other,119
2,1,white,1443
2,2,aapi,1
2,2,black,23
2,2,hispanic,36
2,2,native_american,2
2,2,other,45
2,2,white,633
2,3,black,341
2,3,hispanic,96
2,3,native_american,6
2,3,other,82
2,3,white,797
2,4,aapi,2
2,4,black,435
2,4,hispanic,112
2,4,native_american,1
2,4,other,56
2,4,white,337
3,DOUGL,aapi,21
3,DOUGL,black,894
3,DOUGL,hispanic,120
3,DOUGL,native_american,14
3,DOUGL,other,468
3,DOUGL,white,5494
4,A,aapi,1
4,A,black,260
4,A,hispanic,2
4,A,other,20
4,A,white,222
4,E,aapi,1
4,E,black,88
4,E,hispanic,2
4,E,native_american,1
4,E,other,26
4,E,white,252
4,H,aapi,2
4,H,black,277
4,H,hispanic,6
4,H,other,32
4,H,white,172
4,M,aapi,10
4,M,black,108
4,M,hispanic,3
4,M,native_american,2
4,M,other,24
4,M,white,282
4,N,aapi,2
4,N,black,160
4,N,hispanic,8
4,N,other,31
4,N,white,255
5,1714,aapi,3
5,1714,black,331
5,1714,hispanic,13
5,1714,native_american,2
5,1714,other,88
5,1714,white,686
5,318,aapi,78
5,318,black,586
5,318,hispanic,37
5,318,native_american,7
5,318,other,251
5,318,white,2725
5,319,aapi,10
5,319,black,724
5,319,hispanic,12
5,319,native_american,2
5,319,other,125
5,319,white,1090
5,321E,aapi,3
5,321E,black,953
5,321E,hispanic,10
5,321E,other,105
5,321E,white,249
5,321W,aapi,2
5,321W,black,2025
5,321W,hispanic,20
5,321W,native_american,10
5,321W,other,199
