,County,County Precinct,aapi_mail_turnout_share,aapi_adv_turnout_share,aapi_mail_support_share,aapi_adv_support_share,black_mail_turnout_share,black_adv_turnout_share,black_mail_support_share,black_adv_support_share,hispanic_mail_turnout_share,hispanic_adv_turnout_share,hispanic_mail_support_share,hispanic_adv_support_share,native_american_mail_turnout_share,native_american_adv_turnout_share,native_american_mail_support_share,native_american_adv_support_share,other_mail_turnout_share,other_adv_turnout_share,other_mail_support_share,other_adv_support_share,white_mail_turnout_share,white_adv_turnout_share,white_mail_support_share,white_adv_support_share
0,Appling,1B,0.002507812016342711,0.0013056399812642935,0.62,0.62,0.06734927286671309,0.058375862420444576,0.89,0.89,0.0038766653768500113,0.0038833409764928166,0.62,0.62,0.002113792175819216,0.001979172320972617,0.62,0.62,0.05473382590305775,0.05467036154747146,0.5,0.5,0.8694186316612172,0.8797856227533541,0.23655913688716407,0.03419831385341149
1,Appling,1C,0.002103919738778648,0.00109893609845966,0.62,0.62,0.09228729690808746,0.08025223459355796,0.89,0.89,0.00853732495850468,0.00857993172903854,0.62,0.62,0.0005320074694674602,0.0004997512192793506,0.62,0.62,0.04731022056411384,0.047409559719103295,0.5,0.5,0.8492292303610479,0.8621595866405611,0.0,0.0
2,Appling,2,0.0038653353361904454,0.002176003923106585,0.62,0.62,0.5787219848993498,0.5423934232362232,0.89,0.89,0.014191036839653622,0.01537111503711582,0.62,0.62,0.001954815322036564,0.0019791152829603496,0.62,0.62,0.06934318916512296,0.07489347576410615,0.5,0.5,0.3319236384376466,0.36318686675648787,0.6398119384612443,0.37169918388638773
3,Appling,3A1,0.0013676493332278193,0.0007064700463776778,0.62,0.62,0.01836465164240426,0.01579332695969283,0.89,0.89,0.005285402956087981,0.005253102155133591,0.62,0.62,,,,,0.04974899767440327,0.04930273456205324,0.5,0.5,0.9252332983938766,0.9289443662767426,0.1216458657715479,0.006108611282693697
4,Appling,3C,0.007815199548720305,0.004170817741974287,0.62,0.62,0.2174624791337845,0.19321347543725761,0.89,0.89,0.012081014568181867,0.012405186479666618,0.62,0.62,0.001317459805670961,0.0012644782863869808,0.62,0.62,0.05728716808584861,0.05865515310613971,0.5,0.5,0.7040366788577938,0.7302908889485749,0.3656286136995607,0.032467624977266525
5,Appling,4B,0.0025456484277761324,0.0013155738817707693,0.62,0.62,0.017091349896616842,0.014705003107329572,0.89,0.89,0.003935154252903052,0.003912887194015847,0.62,0.62,0.0019311154602330825,0.0017948076846011746,0.62,0.62,0.04461605694682665,0.04423598297917838,0.5,0.5,0.9298806750156441,0.9340357451531042,0.013787614659883048,0.0
6,Appling,4D,0.013739755188310674,0.007181342395823698,0.62,0.62,0.056434067524611144,0.049106607192048464,0.89,0.89,0.012181423031866399,0.012250206593433894,0.62,0.62,0.0016349656096065859,0.0015368381124277646,0.62,0.62,0.048642776155347664,0.04877672870286293,0.5,0.5,0.8673670124902574,0.8811482770034033,0.12920849506703933,0.022185543615904815
7,Appling,5A,0.004705542245561198,0.0024624675174590755,0.62,0.62,0.0918296328465936,0.08000472162499238,0.89,0.89,0.018912387658192836,0.01904258677180377,0.62,0.62,0.0038075728101475787,0.0035834546405699467,0.62,0.62,0.07095637354609638,0.07123934585321406,0.5,0.5,0.8097884908934084,0.8236674235919608,0.0318473633558459,0.035257929133132124
8,Appling,5B,0.005935191859216512,0.0030887728204741648,0.62,0.62,0.05313142205738609,0.04603356203430817,0.89,0.89,0.014220988888022656,0.014239664272746182,0.62,0.62,0.0018009620863153194,0.0016855771525997021,0.62,0.62,0.04631947808902467,0.046246890767298,0.5,0.5,0.8785919570200348,0.8887055329525737,0.2295196887140382,0.002868630865792037
9,Atkinson,1,0.002013507273485486,0.00104748758276146,0.62,0.62,0.0612842389635585,0.053078227905078025,0.89,0.89,0.036831858850300686,0.03686702272094305,0.62,0.62,0.002715441759055401,0.0025405575320773966,0.62,0.62,0.05282333258107205,0.05272166966106218,0.5,0.5,0.8443316205725278,0.8537450345980779,0.37468048751620037,0.018452839379020383
